generacion,individuo,score,config,tiempo_ejecucion
8,2,-inf,"{""lc"": true, ""del_dup"": true, ""token_list"": [-1], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.1111111111111111}",0.5519711971282959
8,3,-inf,"{""lc"": true, ""del_dup"": true, ""token_list"": [-1, 3], ""weighting"": ""tf"", ""del_diac"": true, ""select_conn"": false, ""token_min_filter"": 0.8888888888888888}",0.8639013767242432
8,4,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [-1], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.5555555555555556}",0.5948777198791504
9,0,0.49924546310763807,"{""lc"": true, ""del_dup"": false, ""token_list"": [3], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.0}",0.9731323719024658
9,1,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [3], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.4444444444444444}",0.9263074398040771
9,2,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [2, 1], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.2222222222222222}",1.414365530014038
9,3,0.47610128890838616,"{""lc"": true, ""del_dup"": false, ""token_list"": [2, 1], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.0}",0.952772855758667
9,4,0.4764262701594678,"{""lc"": true, ""del_dup"": false, ""token_list"": [3], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.3333333333333333}",0.8014249801635742
10,0,0.49924546310763807,"{""lc"": true, ""del_dup"": false, ""token_list"": [3], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.0}",0.9876670837402344
10,1,0.47610128890838616,"{""lc"": true, ""del_dup"": false, ""token_list"": [2, 1], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.0}",0.9553945064544678
10,2,0.4764262701594678,"{""lc"": true, ""del_dup"": true, ""token_list"": [3], ""weighting"": ""tfidf"", ""del_diac"": false, ""select_conn"": true, ""token_min_filter"": 0.6666666666666666}",0.9511644840240479
10,3,0.4764262701594678,"{""lc"": true, ""del_dup"": true, ""token_list"": [3], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.5555555555555556}",1.0261549949645996
10,4,0.4764262701594678,"{""lc"": false, ""del_dup"": true, ""token_list"": [3], ""weighting"": ""tf"", ""del_diac"": false, ""select_conn"": false, ""token_min_filter"": 0.6666666666666666}",0.9722485542297363
